1_1095	5_907	257	100
1_1096	2_1533	668	100
1_1096	3_984	668	100
1_1096	4_1253	664	99.41
1_1096	5_908	668	100
1_1097	2_1532	268	100
1_1097	3_985	268	100
1_1097	4_1254	246	91.3
1_1097	5_909	251	93.48
1_1098	2_1531	1007	100
1_1098	3_986	1007	100
1_1098	4_1255	939	92.29
1_1098	5_911	973	96.05
1_1099	2_1530	2050	100
1_1099	3_987	2047	98.43
1_1099	4_1256	1845	88.62
1_1099	5_912	1856	87.47
1_11	2_979	1108	100
1_11	3_1937	1101	99.28
1_11	4_158	1002	88.47
1_11	5_1137	1006	89.91
1_110	2_1079	1034	100
1_110	3_1838	1032	99.81
1_110	4_257	1009	96.94
1_110	5_1241	1009	96.75
1_1100	2_1529	2014	100
1_1100	3_988	2013	93.97
1_1100	4_1257	1855	92.16
1_1100	5_913	1879	91.62
1_1101	2_1528	788	100
1_1101	3_989	788	100
1_1101	4_1258	635	79.25
1_1101	5_914	683	86.68
1_1102	2_1527	200	100
1_1102	3_990	200	100
1_1102	4_1259	174	85.44
1_1102	5_915	178	88.35
1_1103	2_1526	505	100
1_1103	3_991	500	98.76
1_1103	4_1260	344	69.29
1_1103	5_916	353	68.88
1_1104	2_1525	417	100
1_1104	3_992	416	99.53
1_1104	4_1261	376	89.57
1_1104	5_917	390	91.47
1_1105	2_1524	749	100
1_1105	3_993	749	100
1_1105	4_1262	721	95.01
1_1105	5_918	740	98.06
1_1106	2_1523	136	100
1_1106	3_994	136	100
1_1106	4_1263	106	77.61
1_1106	5_919	124	89.55
1_1107	2_1522	460	100
1_1107	3_995	460	99.57
1_1107	4_1264	299	67.38
1_1107	5_920	346	72.96
1_1108	2_1521	1422	100
1_1108	3_996	1417	99.71
1_1108	4_1265	1227	84.74
1_1108	5_921	1228	84.88
1_1109	2_1520	1866	100
1_1109	3_997	1850	99.35
1_1109	4_1266	1521	80.94
1_1109	5_922	1420	77.12
1_111	2_1080	660	100
1_111	3_1837	660	100
1_111	4_258	646	98.28
1_111	5_1242	650	98.56
1_1110	2_1519	631	100
1_1110	3_998	631	100
1_1110	4_1267	518	81.37
1_1110	5_923	503	79.74
1_1111	2_1518	678	100
1_1111	3_999	678	100
1_1111	4_1268	611	90.46
1_1111	5_924	625	90.46
1_1112	2_1517	386	100
1_1112	3_1000	385	99.45
1_1112	4_1269	385	99.45
1_1112	5_925	360	91.21
1_1113	2_1516	757	91.79
1_1113	3_1001	739	95.24
1_1113	4_1270	724	96.22
1_1113	5_926	643	75.49
1_1114	2_1515	1138	100
1_1114	3_1002	1135	99.83
1_1114	4_1271	1116	98.31
1_1114	5_927	1014	88.34
1_1115	2_1514	348	100
1_1115	3_1003	348	100
1_1115	4_1272	336	96.36
1_1115	5_928	333	93.94
1_1116	2_1513	999	100
1_1116	3_1004	994	99.6
1_1116	4_1273	957	95.05
1_1116	5_929	922	92.66
1_1117	2_1512	845	100
1_1117	3_1005	842	99.54
